gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap
ND,MN,2005,77775,0
ND,MN,2022,0,0
ND,MT,1990,236436,0
ND,MT,1994,41480,0
ND,MT,2022,0,0
ND,SD,1990,1312842,0
ND,SD,1994,480131,0
ND,SD,1998,725900,0
ND,SD,2022,0,0
NE,CO,1990,442280.5,0
NE,CO,1994,59109,0
NE,CO,1997,373320,0
NE,CO,2002,335988,0
NE,CO,2008,1555500,0
NE,CO,2009,311618.5,0
NE,CO,2014,0,264435
NE,CO,2022,0,0
NE,IA,1990,3322548,0
NE,IA,2002,93330,0
NE,IA,2007,8296,0
NE,IA,2022,0,0
NE,KS,1990,41480,0
NE,KS,1997,264435,0
NE,KS,2008,1555500,0
NE,KS,2009,311100,0
NE,KS,2014,0,264435
NE,KS,2022,0,0
NE,MO,1990,632570,0
NE,MO,1994,86071,0
NE,MO,2022,0,0
NE,SD,1990,129625,0
NE,SD,2022,0,0
NE,WY,2022,0,0
NH,MA,1999,609756,0
NH,MA,2001,41480,0
NH,MA,2009,212585,0
NH,MA,2022,13481,0
NH,ME,1990,24888,0
NH,ME,1994,39406,0
NH,ME,1999,152439,0
NH,ME,2002,39406,0
NH,ME,2017,60146,0
NH,ME,2022,1092998,0
NH,VT,2022,0,0
NJ,DE,2022,0,0
NJ,NY,1990,3008337,0
NJ,NY,1994,159698,0
NJ,NY,2001,311100,0
NJ,NY,2002,262361,0
NJ,NY,2007,103700,0
NJ,NY,2013,829600,0
NJ,NY,2014,103700,0
NJ,NY,2016,354654,0
NJ,NY,2017,160735,0
NJ,NY,2022,96441,0
NJ,PA,1990,1814750,0
NJ,PA,1994,155550,0
NJ,PA,2003,21777,0
NJ,PA,2022,0,0
NM,AZ,1990,4221627,0
NM,AZ,1994,1196698,0
NM,AZ,2000,141032,0
NM,AZ,2002,328729,0
NM,AZ,2004,331840,0
NM,AZ,2011,0,194956
NM,AZ,2022,437614,0
NM,CO,2007,259250,0
NM,CO,2022,0,0
NM,OK,2022,0,0
NM,TX,1990,2192218,0
NM,TX,1994,282064,0
NM,TX,2004,10370,0
NM,TX,2022,1979633,0
NM,UT,2022,0,0
NV,AZ,2022,0,0
NV,CA,1990,21777,0
NV,CA,1994,735233,0
NV,CA,1997,13481,0
NV,CA,2001,139995,0
NV,CA,2003,933300,0
NV,CA,2010,150365,0
NV,CA,2011,275842,0
NV,CA,2022,0,0
NV,ID,2022,0,0
NV,OR,2011,1555500,0
NV,OR,2022,0,0
NV,UT,2022,0,0
NY,CT,1990,1088850,0
NY,CT,1994,469761,0
NY,CT,1995,70516,0
NY,CT,1998,36295,0
NY,CT,1999,30073,0
NY,CT,2000,15555,0
NY,CT,2001,13481,0
NY,CT,2002,62220,0
NY,CT,2004,238510,0
NY,CT,2008,433466,0
NY,CT,2016,354654,0
NY,CT,2017,116144,0
NY,CT,2022,96441,0
NY,MA,1990,777750,0
NY,MA,1994,320433,0
NY,MA,2007,114070,0
NY,MA,2022,0,0
NY,NJ,2010,285175,0
NY,NJ,2022,0,0
NY,PA,1990,531981,0
NY,PA,1994,141032,0
NY,PA,1997,25925,0
NY,PA,1998,22814,0
NY,PA,2006,505019,0
NY,PA,2011,337025,0
NY,PA,2022,0,0
NY,VT,2022,0,0
OH,IN,1990,485316,0
OH,IN,2015,1824083,0
OH,IN,2016,1615646,0
OH,IN,2017,1374025,0
OH,IN,2022,362950,0
OH,KY,1990,227103,0
OH,KY,2009,1842749,0
OH,KY,2015,1270325,0
OH,KY,2016,371246,0
OH,KY,2017,688568,0
OH,KY,2022,0,0
OH,MI,1990,1962004,0
OH,MI,2022,3235440,0
OH,PA,1990,2221254,0
OH,PA,2022,0,0
OH,WV,1990,2542724,0
OH,WV,1994,242658,0
OH,WV,1995,45628,0
OH,WV,1996,25925,0
OH,WV,2008,155550,0
OH,WV,2009,155550,0
OH,WV,2010,155550,0
OH,WV,2011,155550,0
OH,WV,2022,1555500,0
OK,AR,1990,1910154,0
OK,AR,1999,165920,0
OK,AR,2006,25925,0
OK,AR,2009,136884,0
OK,AR,2022,0,0
OK,CO,1990,207400,0
OK,CO,2022,0,0
OK,KS,1990,6323626,0
OK,KS,1994,0,93330
OK,KS,2007,0,51850
OK,KS,2008,51850,0
OK,KS,2022,0,0
OK,MO,1990,48739,0
OK,MO,1999,8296,0
OK,MO,2006,25925,0
OK,MO,2022,0,0
OK,NM,2022,0,0
OK,TX,1990,2136220,0
OK,TX,1994,1122034,0
OK,TX,1999,31110,0
OK,TX,2001,87108,0
OK,TX,2005,75701,0
OK,TX,2009,3379583,0
OK,TX,2010,311100,0
OK,TX,2022,414800,0
OR,CA,1990,1171810,0
OR,CA,1994,684420,0
OR,CA,1995,114070,0
OR,CA,1998,76738,0
OR,CA,2000,20740,0
OR,CA,2002,270657,0
OR,CA,2022,15555,0
OR,ID,1990,457317,0
OR,ID,1994,31110,0
OR,ID,1995,10370,0
OR,ID,2022,0,0
OR,NV,2022,0,0
OR,WA,1990,494649,0
OR,WA,1994,186660,0
OR,WA,1999,52887,0
OR,WA,2003,181475,0
OR,WA,2022,0,0
PA,DE,1990,257176,0
PA,DE,1994,98515,0
PA,DE,1995,15555,0
PA,DE,1998,5185,0
PA,DE,1999,9333,0
PA,DE,2000,8296,0
PA,DE,2014,254065,0
PA,DE,2015,107848,0
PA,DE,2022,0,0
PA,MD,1990,689605,0
PA,MD,1994,178052.9,0
PA,MD,1995,96441,0
PA,MD,1997,19703,0
PA,MD,1998,2592.5,0
PA,MD,2000,15555,0
PA,MD,2001,12236.6,0
PA,MD,2002,5185,0
PA,MD,2004,229902.9,0
PA,MD,2005,19599.2999999999,0
PA,MD,2006,27169.4,0
PA,MD,2007,10577.4,0
PA,MD,2008,11407,0
PA,MD,2012,435540,0
PA,MD,2015,446947,0
PA,MD,2016,199104,0
PA,MD,2017,575535,0
PA,MD,2022,1411357,0
PA,NJ,1990,6785091,0
PA,NJ,1994,506056,0
PA,NJ,1995,128588,0
PA,NJ,1996,25925,0
PA,NJ,1998,16592,0
PA,NJ,2001,167994,0
PA,NJ,2002,366061,0
PA,NJ,2003,50813,0
PA,NJ,2005,108885,0
PA,NJ,2006,104737,0
PA,NJ,2007,259250,0
PA,NJ,2008,197030,0
PA,NJ,2009,64294,0
PA,NJ,2011,362950,0
PA,NJ,2013,918782,0
PA,NJ,2014,725900,0
PA,NJ,2015,167994,0
PA,NJ,2017,119255,0
PA,NJ,2022,0,0
PA,NY,1990,3323585,0
PA,NY,1994,143106,0
PA,NY,1997,0,558943
PA,NY,2006,505019,0
PA,NY,2011,699975,0
PA,NY,2012,435540,0
PA,NY,2015,155550,0
PA,NY,2017,116144,0
PA,NY,2022,352580,0
PA,OH,1990,467687,0
PA,OH,1994,14518,0
PA,OH,2009,1633275,0
PA,OH,2016,134810,0
PA,OH,2022,212585,0
PA,WV,1990,703086,0
PA,WV,1994,0,8296
PA,WV,1997,249917,0
PA,WV,1998,173179,0
PA,WV,1999,111996,0
PA,WV,2010,232288,0
PA,WV,2014,1393728,0
PA,WV,2015,1929857,0
PA,WV,2016,373320,0
PA,WV,2017,664717,0
PA,WV,2022,2592500,0
RI,CT,2010,285175,0
RI,CT,2022,0,0
RI,MA,1990,689605,0
RI,MA,1994,41480,0
RI,MA,2016,354654,0
RI,MA,2017,41480,0
RI,MA,2022,96441,0
SC,GA,1990,57035,0
SC,GA,2003,139995,0
SC,GA,2015,544425,0
SC,GA,2017,466650,0
SC,GA,2022,1058777,0
SC,NC,1990,2885971,0
SC,NC,1994,50813,0
SC,NC,1995,119255,0
SC,NC,1996,57035,0
SC,NC,1997,150365,0
SC,NC,2002,238510,0
SC,NC,2003,271694,0
SC,NC,2004,54961,0
SC,NC,2011,227103,0
SC,NC,2012,98515,0
SC,NC,2022,306952,0
SD,IA,1990,20740,0
SD,IA,2022,0,0
SD,MN,1990,1278621,0
SD,MN,1994,458354,0
SD,MN,1998,725900,0
SD,MN,2022,0,0
SD,MT,2022,0,0
SD,ND,1990,20740,0
SD,ND,1994,34221,0
SD,ND,2022,0,0
SD,NE,1990,129625,0
SD,NE,2022,0,0
SD,WY,1990,46665,0
SD,WY,1998,41480,0
SD,WY,2022,0,0
TN,AL,1990,528870,0
TN,AL,1998,21777,0
TN,AL,2009,466650,0
TN,AL,2014,1140700,0
TN,AL,2015,388875,0
TN,AL,2016,357765,0
TN,AL,2017,832711,0
TN,AL,2022,0,0
TN,AR,1990,25925,0
TN,AR,2022,0,0
TN,GA,1990,64294,0
TN,GA,2002,165920,0
TN,GA,2022,0,0
TN,KY,1990,14360376,0
TN,KY,1994,0,1352248
TN,KY,1999,318359,0
TN,KY,2001,0,264435
TN,KY,2022,0,0
TN,MO,2022,0,0
TN,MS,2013,559980,0
TN,MS,2015,1159366,0
TN,MS,2016,1206031,0
TN,MS,2017,3729052,0
TN,MS,2022,872117,0
TN,NC,2022,0,0
TN,VA,1990,13481,0
TN,VA,1994,2074,0
TN,VA,1996,11407,0
TN,VA,1997,24888,0
TN,VA,2006,20740,0
TN,VA,2022,0,0
TX,AR,1990,1919487,0
TX,AR,1994,229177,0
TX,AR,2011,116144,0
TX,AR,2022,0,0
TX,LA,1990,6127840.4,0
TX,LA,1994,34117.3000000006,0
TX,LA,1996,147254,0
TX,LA,1997,20740,0
TX,LA,1998,0,202215
TX,LA,1999,347395,0
TX,LA,2000,10370,0
TX,LA,2003,3111,0
TX,LA,2005,82960,0
TX,LA,2006,126514,0
TX,LA,2007,1983781,0
TX,LA,2008,2297992,0
TX,LA,2009,3483283,0
TX,LA,2010,2208810,0
TX,LA,2011,2592396.3,0
TX,LA,2022,0,0
TX,NM,1990,3777791,0
TX,NM,1994,271694,0
TX,NM,1996,119255,0
TX,NM,2002,238510,0
TX,NM,2004,331840,0
TX,NM,2022,468724,0
TX,OK,1990,4471544,0
TX,OK,1994,170068,0
TX,OK,1996,20740,0
TX,OK,2005,25925,0
TX,OK,2006,20740,0
TX,OK,2022,0,0
UT,AZ,2022,0,0
UT,CO,1990,241621,0
UT,CO,1994,302804,0
UT,CO,2008,77775,0
UT,CO,2009,127551,0
UT,CO,2022,0,0
UT,ID,1990,378505,0
UT,ID,1994,81923,0
UT,ID,2001,20740,0
UT,ID,2003,218807,0
UT,ID,2017,5185,0
UT,ID,2022,0,0
UT,NM,2022,0,0
UT,NV,1994,803675,0
UT,NV,2001,139995,0
UT,NV,2003,1165588,0
UT,NV,2010,150365,0
UT,NV,2011,1831342,0
UT,NV,2022,0,0
UT,WY,1990,538203,0
UT,WY,1994,114070,0
UT,WY,1998,88145,0
UT,WY,2007,421022,0
UT,WY,2010,342210,0
UT,WY,2022,0,0
VA,DC,1990,103700,0
VA,DC,1994,20740,0
VA,DC,2003,62220,0
VA,DC,2022,0,0
VA,KY,2022,0,0
VA,MD,1990,3157665,0
VA,MD,1994,174216,0
VA,MD,1995,606645,0
VA,MD,1997,55998,0
VA,MD,1998,13481,0
VA,MD,2005,449021,0
VA,MD,2007,171105,0
VA,MD,2008,725900,0
VA,MD,2016,136884,0
VA,MD,2017,110959,0
VA,MD,2022,518500,0
VA,NC,1990,25925,0
VA,NC,1994,435540,0
VA,NC,1998,12444,0
VA,NC,2003,326655,0
VA,NC,2008,264435,0
VA,NC,2015,1109590,0
VA,NC,2017,462502,0
VA,NC,2022,905301,0
VA,TN,1990,13481,0
VA,TN,1994,2074,0
VA,TN,1996,11407,0
VA,TN,1997,24888,0
VA,TN,2006,20740,0
VA,TN,2011,155550,0
VA,TN,2022,0,0
VA,WV,2022,0,0
VT,MA,2022,0,0
VT,NH,2022,0,0
VT,NY,2022,0,0
WA,ID,1990,61183,0
WA,ID,2022,0,0
WA,OR,1990,2486726,0
WA,OR,1994,970632,0
WA,OR,1995,5185,0
WA,OR,1998,76738,0
WA,OR,2002,214659,0
WA,OR,2022,0,0
WI,IA,2022,0,0
WI,IL,1990,570350,0
WI,IL,1999,113033,0
WI,IL,2001,42517,0
WI,IL,2022,0,0
WI,MI,1990,1773270,0
WI,MI,1994,642940,0
WI,MI,1998,130662,0
WI,MI,2022,0,0
WI,MN,1990,2308362,0
WI,MN,2022,0,0
WV,KY,1990,78812,0
WV,KY,2013,460428,0
WV,KY,2015,1483947,0
WV,KY,2016,454206,0
WV,KY,2022,1699643,0
WV,MD,1990,4148,0
WV,MD,2022,0,0
WV,OH,1990,1672681,0
WV,OH,1998,22814,0
WV,OH,2014,933300,0
WV,OH,2015,1057740,0
WV,OH,2016,1514020,0
WV,OH,2017,663680,0
WV,OH,2022,3971710,0
WV,PA,1990,4639538,0
WV,PA,1994,46665,0
WV,PA,1995,46665,0
WV,PA,1996,25925,0
WV,PA,1997,97478,0
WV,PA,1998,33184,0
WV,PA,2002,103700,0
WV,PA,2004,225029,0
WV,PA,2006,54961,0
WV,PA,2007,49776,0
WV,PA,2008,155550,0
WV,PA,2009,155550,0
WV,PA,2010,79849,0
WV,PA,2012,1252696,0
WV,PA,2014,191845,0
WV,PA,2022,0,0
WV,VA,1990,1763937,0
WV,VA,1994,263398,0
WV,VA,1997,158661,0
WV,VA,1998,49776,0
WV,VA,2022,518500,0
WY,CO,1990,1447444.6,0
WY,CO,1994,52887,0
WY,CO,1996,19703,0
WY,CO,1997,230214,0
WY,CO,1998,72590,0
WY,CO,1999,277916,0
WY,CO,2000,138128.4,0
WY,CO,2001,714285.6,0
WY,CO,2006,777750,0
WY,CO,2007,674050,0
WY,CO,2008,445910,0
WY,CO,2009,368342.4,0
WY,CO,2022,230214,0
WY,ID,2022,0,0
WY,MT,1990,162809,0
WY,MT,1994,116144,0
WY,MT,1998,54961,0
WY,MT,2000,41480,0
WY,MT,2003,97478,0
WY,MT,2008,42517,0
WY,MT,2011,494649,0
WY,MT,2022,0,0
WY,NE,1990,543388,0
WY,NE,1994,0,17629
WY,NE,1997,373320,0
WY,NE,2002,335988,0
WY,NE,2008,1555500,0
WY,NE,2009,311100,0
WY,NE,2014,0,264435
WY,NE,2022,0,0
WY,SD,1990,26962,0
WY,SD,1994,1037,0
WY,SD,2022,0,0
WY,UT,1990,1535797,0
WY,UT,1994,860710,0
WY,UT,1996,21777,0
WY,UT,1998,138958,0
WY,UT,2001,181475,0
WY,UT,2003,1370914,0
WY,UT,2010,150365,0
WY,UT,2011,1831342,0
WY,UT,2017,0,51850
WY,UT,2022,0,0
