GAS_ZONES,DRILL_TYPE,PROD_TYPE,PROD_YEAR,gas_production_rate_mmbtud,oil_production_rate_bbld
KY,H,O&G,1,27.33572615,30.88666667
KY,H,O&G,2,19.50831949,9.919005069
KY,H,O&G,3,15.13249537,6.890335013
KY,H,O&G,4,12.57464258,5.59031879
KY,H,O&G,5,10.88489832,4.783142866
KY,H,O&G,6,9.670207591,4.223108649
KY,H,O&G,7,8.747210755,3.807068924
KY,H,O&G,8,8.017701149,3.483277863
KY,H,O&G,9,7.409148646,3.222613527
KY,H,O&G,10,6.854305791,3.003258631
KY,H,O&G,11,6.341012998,2.802223901
KY,H,O&G,12,5.866158744,2.614646207
KY,H,O&G,13,5.426864511,2.439624752
KY,H,O&G,14,5.020467346,2.276319035
KY,H,O&G,15,4.644503714,2.123944818
KY,H,O&G,16,4.296694562,1.981770358
KY,H,O&G,17,3.97493151,1.849112895
KY,H,O&G,18,3.677264065,1.725335372
KY,H,O&G,19,3.401887798,1.609843377
KY,H,O&G,20,3.147133409,1.502082285
KY,H,O&G,21,2.911456603,1.401534599
KY,H,O&G,22,2.693428733,1.30771746
KY,H,O&G,23,2.491728138,1.220180335
KY,H,O&G,24,2.305132131,1.138502846
KY,H,O&G,25,2.132509586,1.062292755
KY,H,O&G,26,1.972814085,0.991184081
KY,H,O&G,27,1.82507757,0.924835342
KY,H,O&G,28,1.688404478,0.862927912
KY,H,O&G,29,1.618291203,0.830978068
ND,D,O&G,1,29.96608522,111.7695556
ND,D,O&G,2,16.34170092,68.64941667
ND,D,O&G,3,12.5336347,55.52019147
ND,D,O&G,4,10.78972685,47.78026969
ND,D,O&G,5,9.4859553,42.34438529
ND,D,O&G,6,8.522571213,38.19212081
ND,D,O&G,7,7.771472229,34.87223943
ND,D,O&G,8,7.151033748,32.10130455
ND,D,O&G,9,6.600166574,29.64919036
ND,D,O&G,10,6.102967424,27.41421001
ND,D,O&G,11,5.651449142,25.36137215
ND,D,O&G,12,5.239564374,23.47403642
ND,D,O&G,13,6.115164839,23.31488994
ND,D,O&G,14,6.288717825,22.31773701
ND,D,O&G,15,5.849107549,20.64077709
ND,D,O&G,16,5.441941032,19.09940765
ND,D,O&G,17,5.064599506,17.68147197
ND,D,O&G,18,4.714707086,16.37605238
ND,D,O&G,19,4.390103772,15.17332572
ND,D,O&G,20,4.088822081,14.0644378
ND,D,O&G,21,4.468841046,14.85355472
ND,D,O&G,22,6.082105882,19.082818
ND,D,O&G,23,5.678383202,17.80473691
ND,D,O&G,24,5.301459136,16.61225594
ND,D,O&G,25,4.949554824,15.49964196
ND,D,O&G,26,4.621009485,14.46154585
ND,D,O&G,27,4.314272581,13.49297673
ND,D,O&G,28,4.027896493,12.589278
ND,H,O&G,1,529.2552219,444.3962172
ND,H,O&G,2,280.8419651,188.086631
ND,H,O&G,3,195.6358189,127.8767148
ND,H,O&G,4,156.1189704,98.58040118
ND,H,O&G,5,128.293581,79.65455
ND,H,O&G,6,108.5491548,67.87151395
ND,H,O&G,7,96.30725005,59.53501126
ND,H,O&G,8,87.02203608,53.1301865
ND,H,O&G,9,79.54946649,48.10633118
ND,H,O&G,10,73.39426917,44.04441842
ND,H,O&G,11,67.96561115,40.58700142
ND,H,O&G,12,63.05711793,37.53937311
ND,H,O&G,13,58.64020956,34.84905646
ND,H,O&G,14,54.63297445,32.46338459
ND,H,O&G,15,50.93416651,30.2668618
ND,H,O&G,16,47.47057476,28.21053486
ND,H,O&G,17,44.23589291,26.29215182
ND,H,O&G,18,41.25079567,24.51756066
ND,H,O&G,19,38.44085288,22.85126943
ND,H,O&G,20,35.84847433,21.29331551
ND,H,O&G,21,33.43725942,19.84270847
ND,H,O&G,22,31.17078695,18.49841262
ND,H,O&G,23,29.0570905,17.24580356
ND,H,O&G,24,27.09875222,16.08291319
ND,H,O&G,25,25.26913672,14.99510325
ND,H,O&G,26,23.54397413,13.94919403
ND,H,O&G,27,20.38848371,11.90407107
ND,H,O&G,28,15.1854482,9.759839699
ND,H,O&G,29,12.62395181,8.678990567
ND,H,O&G,30,11.02166571,7.751839817
ND,V,O&G,1,27.66470256,170.9051667
ND,V,O&G,2,24.60081451,151.94925
ND,V,O&G,3,21.35868196,131.95925
ND,V,O&G,4,20.65881686,127.5996667
ND,V,O&G,5,22.18423589,134.4549858
ND,V,O&G,6,17.5743407,108.5938114
ND,V,O&G,7,16.40197091,101.3496077
ND,V,O&G,8,15.30780894,94.58865883
ND,V,O&G,9,14.28663761,88.27872731
ND,V,O&G,10,13.33358778,82.38972612
ND,V,O&G,11,12.44411512,76.89357535
ND,V,O&G,12,11.61397845,71.76406828
ND,V,O&G,13,10.83921952,66.97674639
ND,V,O&G,14,10.11614411,62.5087828
ND,V,O&G,15,9.44130447,58.33887339
ND,V,O&G,16,8.811482825,54.4471352
ND,V,O&G,17,8.223676064,50.81501165
ND,V,O&G,18,7.675081407,47.42518408
ND,V,O&G,19,7.163083048,44.26148911
ND,V,O&G,20,6.685239678,41.30884163
ND,V,O&G,21,6.239272845,38.55316283
ND,V,O&G,22,5.823056093,35.98131309
ND,V,O&G,23,5.434604817,33.58102933
ND,V,O&G,24,5.072066806,31.34086653
ND,V,O&G,25,4.733713407,29.25014313
ND,V,O&G,26,4.417931285,27.29889018
ND,V,O&G,27,4.123214728,25.4778037
ND,V,O&G,28,3.848158469,23.7782004
ND,V,O&G,29,3.591450987,22.19197624
ND,V,O&G,30,3.35186825,20.71156778
OH,D,O&G,1,65.16140677,2.153333333
OH,D,O&G,2,40.19980484,1.119472222
OH,D,O&G,3,17.25383868,0.802083333
OH,D,O&G,4,10.81990699,0.700407338
OH,D,O&G,5,6.947702432,0.923291789
OH,D,O&G,6,5.150975728,1.511540853
OH,D,O&G,7,4.108593126,1.352668656
OH,D,O&G,8,3.429683224,1.229599344
OH,D,O&G,9,3.336632011,1.130966875
OH,D,O&G,10,3.001960145,1.049539718
OH,D,O&G,11,2.689698021,0.250879434
OH,D,O&G,12,2.422465358,0
OH,D,O&G,13,2.191409938,0
OH,D,O&G,14,1.989899009,0
OH,D,O&G,15,1.812857063,0
OH,D,O&G,16,1.656327742,0
OH,D,O&G,17,1.517176376,.
OH,D,O&G,18,1.5589377,.
OH,D,O&G,19,1.525035143,.
OH,D,O&G,20,1.596032494,.
OH,D,O&G,21,1.958631718,.
OH,D,O&G,22,1.827611869,.
OH,D,O&G,23,1.705356404,.
OH,D,O&G,24,1.591279043,.
OH,D,O&G,25,1.484832722,.
OH,D,O&G,26,1.385506975,.
OH,D,O&G,27,1.292825481,.
OH,D,O&G,28,1.206343781,.
OH,D,O&G,29,1.125647151,.
OH,D,O&G,30,1.071597898,.
OH,H,O&G,1,8953.349032,98.71249506
OH,H,O&G,2,4142.459807,41.47493512
OH,H,O&G,3,2618.976259,31.15153953
OH,H,O&G,4,2022.807489,28.92332118
OH,H,O&G,5,1666.99983,28.15187062
OH,H,O&G,6,1413.919376,26.88062122
OH,H,O&G,7,1225.116891,23.28352784
OH,H,O&G,8,1082.910502,20.56610195
OH,H,O&G,9,971.5660656,18.42589664
OH,H,O&G,10,881.2113726,16.71706013
OH,H,O&G,11,805.9301793,15.29712462
OH,H,O&G,12,742.2510449,14.08403862
OH,H,O&G,13,686.8059423,13.05038905
OH,H,O&G,14,637.9816716,12.14718358
OH,H,O&G,15,593.6644175,11.33576547
OH,H,O&G,16,552.6137401,10.59152206
OH,H,O&G,17,514.5118681,9.883704271
OH,H,O&G,18,479.1289982,9.224230341
OH,H,O&G,19,446.2519588,8.603391212
OH,H,O&G,20,415.6822394,8.034023025
OH,H,O&G,21,387.2475219,7.528869745
OH,H,O&G,22,360.9877187,7.035521257
OH,H,O&G,23,336.5305845,6.595264989
OH,H,O&G,24,313.559792,6.163146911
OH,H,O&G,25,292.6561548,5.754068835
OH,H,O&G,26,273.0828232,5.369241352
OH,H,O&G,27,229.9578856,4.042773428
OH,H,O&G,28,180.4382368,2.856736743
OH,H,O&G,29,144.5447828,2.207611654
OH,H,O&G,30,113.3722391,1.992131974
OH,V,O&G,1,23.35171676,3.445799531
OH,V,O&G,2,21.79226125,3.141993767
OH,V,O&G,3,17.47031001,2.594417898
OH,V,O&G,4,14.81841785,2.476831754
OH,V,O&G,5,13.07183498,2.681851229
OH,V,O&G,6,13.30935346,4.245886359
OH,V,O&G,7,12.67767082,4.841260584
OH,V,O&G,8,12.65099458,5.156932863
OH,V,O&G,9,12.32706469,4.921626243
OH,V,O&G,10,12.13374348,4.566145236
OH,V,O&G,11,12.00757669,4.457779903
OH,V,O&G,12,11.98649191,4.299962086
OH,V,O&G,13,11.24600445,3.986371549
OH,V,O&G,14,10.66652053,3.745874486
OH,V,O&G,15,9.896067865,3.361797988
OH,V,O&G,16,9.301500152,3.065172112
OH,V,O&G,17,8.722675285,2.921005891
OH,V,O&G,18,8.265249156,2.782228017
OH,V,O&G,19,7.76818407,2.610055872
OH,V,O&G,20,7.487845438,2.613669822
OH,V,O&G,21,7.275244387,2.623516203
OH,V,O&G,22,6.805251212,2.674095315
OH,V,O&G,23,6.425595274,2.766630688
OH,V,O&G,24,5.992963894,2.662775754
OH,V,O&G,25,5.641263961,2.566876455
OH,V,O&G,26,5.441599418,2.457160489
OH,V,O&G,27,5.406093728,2.212339054
OH,V,O&G,28,4.266790885,1.361426621
OH,V,O&G,29,3.928800515,1.277046397
OH,V,O&G,30,3.654978922,0.85411698
OK,H,O&G,1,2309.458479,86.5772929
OK,H,O&G,2,1101.199185,34.7912962
OK,H,O&G,3,720.8836226,23.97734146
OK,H,O&G,4,582.8861624,19.24960944
OK,H,O&G,5,482.4244441,15.66334203
OK,H,O&G,6,417.2818246,13.43272625
OK,H,O&G,7,374.1355009,11.81389816
OK,H,O&G,8,336.1312334,10.52518278
OK,H,O&G,9,305.9529611,9.503812399
OK,H,O&G,10,280.8933745,8.660904684
OK,H,O&G,11,259.3003291,8.15711148
OK,H,O&G,12,242.1405404,7.554415486
OK,H,O&G,13,225.2562608,7.023872465
OK,H,O&G,14,209.8699469,6.609558
OK,H,O&G,15,195.7688461,6.166323248
OK,H,O&G,16,182.6738763,5.734082724
OK,H,O&G,17,170.4796505,5.436354872
OK,H,O&G,18,159.1103117,5.191581181
OK,H,O&G,19,148.5074028,4.861816851
OK,H,O&G,20,138.617713,4.522794379
OK,H,O&G,21,129.3926918,4.207964627
OK,H,O&G,22,120.7873587,3.977651319
OK,H,O&G,23,112.7597927,3.720604933
OK,H,O&G,24,105.2709236,3.490383135
OK,H,O&G,25,98.28433741,3.253469458
OK,H,O&G,26,93.81964029,3.009667071
OK,H,O&G,27,99.18380074,2.521925288
OK,H,O&G,28,114.5253472,2.184578809
OK,H,O&G,29,91.69207797,1.8783482
OK,H,O&G,30,89.60351575,2.437840747
OK,V,O&G,1,1278.848013,3.0883949
OK,V,O&G,2,828.9577134,5.266872377
OK,V,O&G,3,623.0099036,6.146071748
OK,V,O&G,4,502.3947234,5.702934397
OK,V,O&G,5,423.3056543,5.32060103
OK,V,O&G,6,447.446535,6.409398687
OK,V,O&G,7,489.7808453,7.879515674
OK,V,O&G,8,442.1220176,7.495227159
OK,V,O&G,9,402.8153717,7.129680617
OK,V,O&G,10,368.7961838,6.781961991
OK,V,O&G,11,338.8374314,6.451201801
OK,V,O&G,12,312.1566689,6.136572977
OK,V,O&G,13,288.1877037,5.837288781
OK,V,O&G,14,266.5081915,5.552600848
OK,V,O&G,15,246.7943013,5.281797309
OK,V,O&G,16,228.7914959,5.024201015
OK,V,O&G,17,212.2952018,4.77916784
OK,V,O&G,18,197.1377138,4.546085074
OK,V,O&G,19,183.1791269,4.324369888
OK,V,O&G,20,170.3009283,4.11346788
OK,V,O&G,21,158.4013812,3.912851684
OK,V,O&G,22,147.3921402,3.722019656
OK,V,O&G,23,137.1957253,3.540494615
OK,V,O&G,24,127.7436071,3.367822655
OK,V,O&G,25,118.9747321,3.203572006
OK,V,O&G,26,110.834369,3.047331956
OK,V,O&G,27,129.651532,.
PA,H,O&G,1,1997.101188,26.58073693
PA,H,O&G,2,1369.973358,8.169030303
PA,H,O&G,3,1023.204779,4.344015467
PA,H,O&G,4,774.2827703,3.544203307
PA,H,O&G,5,631.5440695,2.908720458
PA,H,O&G,6,533.3317829,2.784965185
PA,H,O&G,7,468.1495458,2.353682226
PA,H,O&G,8,419.4242388,2.013436017
PA,H,O&G,9,381.254932,1.731090073
PA,H,O&G,10,349.9794564,1.560900907
PA,H,O&G,11,323.3717099,1.44680095
PA,H,O&G,12,299.9575746,1.352343231
PA,H,O&G,13,278.8299809,1.249577739
PA,H,O&G,14,259.4771057,1.160267425
PA,H,O&G,15,241.5874358,1.080474589
PA,H,O&G,16,224.9771649,1.006697528
PA,H,O&G,17,209.5165796,0.955025448
PA,H,O&G,18,195.1194834,0.906288894
PA,H,O&G,19,181.712641,0.84441037
PA,H,O&G,20,169.2278726,0.809743518
PA,H,O&G,21,157.6016979,0.791683376
PA,H,O&G,22,146.7750113,0.737630452
PA,H,O&G,23,136.6927803,0.739513374
PA,H,O&G,24,127.3037645,0.747579077
PA,H,O&G,25,118.5602541,0.710268103
PA,H,O&G,26,110.4178264,0.683572887
PA,H,O&G,27,100.1275663,0.647422027
PA,H,O&G,28,91.94532112,0.603219827
PA,H,O&G,29,85.89229179,0.562035674
PA,H,O&G,30,79.70889964,0.555305856
PA,V,O&G,1,19.31157481,2.249600318
PA,V,O&G,2,17.47898148,2.22184094
PA,V,O&G,3,16.31174136,2.672086116
PA,V,O&G,4,15.39675059,2.138751497
PA,V,O&G,5,14.67700432,1.832173037
PA,V,O&G,6,15.14725852,2.037084294
PA,V,O&G,7,14.36358388,1.789514135
PA,V,O&G,8,13.62824847,2.518862413
PA,V,O&G,9,12.93529334,2.570623553
PA,V,O&G,10,13.42533703,2.347416239
PA,V,O&G,11,12.84915348,2.16092695
PA,V,O&G,12,12.20116809,2.002707697
PA,V,O&G,13,11.58635291,1.866728056
PA,V,O&G,14,14.30367167,1.748566026
PA,V,O&G,15,15.20392323,1.644903992
PA,V,O&G,16,27.32953523,1.553203364
PA,V,O&G,17,26.54174927,1.471488023
PA,V,O&G,18,25.24729289,1.398057798
PA,V,O&G,19,24.01596788,1.329839059
PA,V,O&G,20,22.84469531,1.264982043
PA,V,O&G,21,21.73054637,1.203288141
PA,V,O&G,22,20.67073512,1.144603086
PA,V,O&G,23,19.66261147,1.088780134
PA,V,O&G,24,18.70365459,1.035679701
PA,V,O&G,25,17.7914666,.
PA,V,O&G,26,16.92376653,.
PA,V,O&G,27,9.971424921,.
WV,H,O&G,1,5827.171448,38.62929215
WV,H,O&G,2,3187.817123,13.64013867
WV,H,O&G,3,2243.878962,8.213804217
WV,H,O&G,4,1801.664369,6.671913035
WV,H,O&G,5,1508.343239,5.802907321
WV,H,O&G,6,1295.338887,4.959490064
WV,H,O&G,7,1146.941098,4.27754491
WV,H,O&G,8,1033.232681,3.776755079
WV,H,O&G,9,942.0779296,3.396885686
WV,H,O&G,10,869.4647096,3.12281744
WV,H,O&G,11,803.3737902,2.851368399
WV,H,O&G,12,744.871982,2.622808105
WV,H,O&G,13,692.1409393,2.44640893
WV,H,O&G,14,644.0374381,2.284321752
WV,H,O&G,15,599.5055815,2.136558247
WV,H,O&G,16,558.0821849,2.000742623
WV,H,O&G,17,519.5216666,1.863038986
WV,H,O&G,18,483.5902127,1.74564985
WV,H,O&G,19,450.217212,1.629870813
WV,H,O&G,20,419.1513321,1.523240431
WV,H,O&G,21,390.2414749,1.429968222
WV,H,O&G,22,363.3189947,1.335847515
WV,H,O&G,23,338.3131495,1.244116376
WV,H,O&G,24,315.1403285,1.167457859
WV,H,O&G,25,294.3530476,1.091343282
WV,H,O&G,26,274.1920293,1.023023599
WV,H,O&G,27,255.3119234,0.962105467
WV,H,O&G,28,238.1726512,0.902005074
WV,H,O&G,29,218.9194569,0.844699792
WV,H,O&G,30,201.6490486,0.772336771
WV,V,O&G,1,19.55381223,0
WV,V,O&G,2,19.95670123,0
WV,V,O&G,3,19.32542666,0
WV,V,O&G,4,17.57160435,0
WV,V,O&G,5,16.0158538,.
WV,V,O&G,6,14.73341989,.
WV,V,O&G,7,13.62429173,.
WV,V,O&G,8,12.60947245,.
WV,V,O&G,9,11.67925281,.
WV,V,O&G,10,10.82524576,.
WV,V,O&G,11,10.0401445,.
WV,V,O&G,12,9.317411027,.
WV,V,O&G,13,8.649183519,.
WV,V,O&G,14,8.029189174,.
WV,V,O&G,15,7.453859224,.
WV,V,O&G,16,6.91995989,.
WV,V,O&G,17,6.424492699,.
WV,V,O&G,18,5.964677273,.
WV,V,O&G,19,5.537935391,.
WV,V,O&G,20,5.141876214,.
WV,V,O&G,21,4.774282601,.
WV,V,O&G,22,4.433098428,.
WV,V,O&G,23,4.116416831,.
WV,V,O&G,24,3.822469321,.
WV,V,O&G,25,3.549615694,.
WV,V,O&G,26,3.296334672,.
WV,V,O&G,27,3.061215246,.
WV,V,O&G,28,2.842948634,.
WV,V,O&G,29,2.640320846,.
WV,V,O&G,30,2.580080005,.
