gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap,gas_line_total_cap
AL,FL,1990,1021445,0,1021445
AL,FL,1994,124440,0,1145885
AL,FL,1995,554795,0,1700680
AL,FL,1998,25925,0,1726605
AL,FL,2001,207400,0,1934005
AL,FL,2002,1480836,0,3414841
AL,FL,2003,260287,0,3675128
AL,FL,2008,160735,0,3835863
AL,FL,2010,49776,0,3885639
AL,FL,2011,1014186,0,4899825
AL,FL,2012,41480,0,4941305
AL,FL,2022,98515,0,5039820
AL,GA,1990,5052264,0,5052264
AL,GA,1994,90219,0,5142483
AL,GA,1995,119255,0,5261738
AL,GA,1996,57035,0,5318773
AL,GA,1997,150365,0,5469138
AL,GA,1998,157624,0,5626762
AL,GA,2000,207400,0,5834162
AL,GA,2001,17629,0,5851791
AL,GA,2002,487390,0,6339181
AL,GA,2003,674050,0,7013231
AL,GA,2004,198067,0,7211298
AL,GA,2010,129625,0,7340923
AL,GA,2011,227103,0,7568026
AL,GA,2012,228140,0,7796166
AL,GA,2017,860710,0,8656876
AL,GA,2022,537166,0,9194042
AL,MS,1990,155550,0,155550
AL,MS,1994,51850,0,207400
AL,MS,2009,985150,0,1192550
AL,MS,2014,1140700,0,2333250
AL,MS,2015,388875,0,2722125
AL,MS,2016,357765,0,3079890
AL,MS,2017,518500,0,3598390
AL,MS,2022,77775,0,3676165
AL,TN,1990,3887713,0,3887713
AL,TN,1994,346358,0,4234071
AL,TN,2004,59109,0,4293180
AR,LA,1990,732122,0,732122
AR,LA,2015,777750,0,1509872
AR,LA,2016,786046,0,2295918
AR,LA,2017,2479467,0,4775385
AR,MO,1990,2915007,0,2915007
AR,MO,1994,0,51850,2863157
AR,MO,1996,2074,0,2865231
AR,MO,1997,0,2074,2863157
AR,MS,1990,8822796,0,8822796
AR,MS,1994,198067,0,9020863
AR,MS,2000,0,264435,8756428
AR,MS,2009,1002779,0,9759207
AR,MS,2010,2074000,0,11833207
AR,OK,1990,20740,0,20740
AR,TX,1990,658495,0,658495
AR,TX,1994,119255,0,777750
AR,TX,2022,788120,0,1565870
AZ,CA,1990,3608760,0,3608760
AZ,CA,1994,1394765,0,5003525
AZ,CA,2002,964410,0,5967935
AZ,CA,2005,520574,0,6488509
AZ,CA,2022,530944,0,7019453
AZ,NV,1990,171105,0,171105
CA,AZ,2007,636718,0,636718
CA,AZ,2010,83997,0,720715
CA,NV,1995,111996,0,111996
CA,NV,2002,55998,0,167994
CA,NV,2022,15555,0,183549
CO,KS,1990,435540,0,435540
CO,KS,1994,31110,0,466650
CO,KS,1997,31110,0,497760
CO,KS,2000,89182,0,586942
CO,KS,2004,580720,0,1167662
CO,KS,2005,284138,0,1451800
CO,KS,2007,30073,0,1481873
CO,KS,2008,93330,0,1575203
CO,NE,1990,442799,0,442799
CO,NE,1997,497760,0,940559
CO,NE,2002,335988,0,1276547
CO,NE,2004,64294,0,1340841
CO,NE,2008,1555500,0,2896341
CO,NE,2009,311100,0,3207441
CO,NE,2014,0,264435,2943006
CO,NM,1990,614941,0,614941
CO,NM,1994,402356,0,1017297
CO,NM,1995,54961,0,1072258
CO,NM,1996,255102,0,1327360
CO,NM,1998,145180,0,1472540
CO,NM,1999,311100,0,1783640
CO,NM,2004,282064,0,2065704
CO,OK,1990,207400,0,207400
CO,OK,1994,51850,0,259250
CO,OK,2001,86071,0,345321
CO,OK,2002,49776,0,395097
CO,OK,2005,107848,0,502945
CO,OK,2007,30073,0,533018
CO,UT,1990,428281,0,428281
CO,UT,2010,155550,0,583831
CO,WY,1990,463539,0,463539
CO,WY,1994,309026,0,772565
CO,WY,1997,108885,0,881450
CO,WY,2002,335988,0,1217438
CO,WY,2006,1131367,0,2348805
CO,WY,2007,674050,0,3022855
CO,WY,2008,1555500,0,4578355
CO,WY,2009,311100,0,4889455
CT,MA,1990,82960,0,82960
CT,MA,2022,46665,0,129625
CT,NY,1994,259250,0,259250
CT,NY,1998,36295,0,295545
CT,NY,2002,81923,0,377468
CT,NY,2004,58072,0,435540
CT,NY,2008,103700,0,539240
CT,NY,2009,103700,0,642940
CT,NY,2010,285175,0,928115
CT,RI,1990,689605,0,689605
CT,RI,1994,98515,0,788120
CT,RI,2016,354654,0,1142774
CT,RI,2017,41480,0,1184254
CT,RI,2022,96441,0,1280695
DE,MD,1990,10370,0,10370
DE,MD,1997,5185,0,15555
DE,MD,1998,1037,0,16592
DE,MD,2005,6222,0,22814
DE,MD,2022,14518,0,37332
DE,NJ,1994,146217,0,146217
GA,AL,2015,544425,0,544425
GA,AL,2017,466650,0,1011075
GA,AL,2022,1058777,0,2069852
GA,FL,1990,44591,0,44591
GA,FL,1994,13481,0,58072
GA,FL,2007,368135,0,426207
GA,FL,2016,243695,0,669902
GA,FL,2017,860710,0,1530612
GA,FL,2022,230214,0,1760826
GA,SC,1990,3315289,0,3315289
GA,SC,1994,50813,0,3366102
GA,SC,1995,119255,0,3485357
GA,SC,1996,57035,0,3542392
GA,SC,1997,197030,0,3739422
GA,SC,2002,238510,0,3977932
GA,SC,2003,520574,0,4498506
GA,SC,2004,198067,0,4696573
GA,SC,2011,227103,0,4923676
GA,SC,2012,98515,0,5022191
GA,SC,2022,306952,0,5329143
GA,TN,1990,46665,0,46665
GA,TN,1995,11407,0,58072
GA,TN,1998,98515,0,156587
IA,IL,1990,2878712,0,2878712
IA,IL,1994,119255,0,2997967
IA,IL,1995,51850,0,3049817
IA,IL,1996,22814,0,3072631
IA,IL,1998,808860,0,3881491
IA,IL,2000,1692384,0,5573875
IA,IL,2001,202215,0,5776090
IA,IL,2002,174216,0,5950306
IA,IL,2005,77775,0,6028081
IA,IL,2006,134810,0,6162891
IA,MN,1990,1265140,0,1265140
IA,MN,1994,51850,0,1316990
IA,MN,1996,111996,0,1428986
IA,MN,1997,250954,0,1679940
IA,MN,2002,93330,0,1773270
IA,MN,2007,228140,0,2001410
IA,SD,1990,80886,0,80886
IA,SD,2007,16592,0,97478
ID,NV,1990,124440,0,124440
ID,NV,1994,39406,0,163846
ID,OR,1990,248880,0,248880
ID,OR,1994,14518,0,263398
ID,OR,2003,181475,0,444873
ID,UT,1990,259250,0,259250
ID,UT,1994,49776,0,309026
ID,WA,1990,1515057,0,1515057
ID,WA,1994,849303,0,2364360
ID,WA,1998,76738,0,2441098
ID,WA,2002,214659,0,2655757
IL,IA,1990,77775,0,77775
IL,IN,1990,4490210,0,4490210
IL,IN,1994,246806,0,4737016
IL,IN,1997,138958,0,4875974
IL,IN,1999,114070,0,4990044
IL,IN,2000,746640,0,5736684
IL,IN,2001,787083,0,6523767
IL,IN,2002,653310,0,7177077
IL,IN,2003,251991,0,7429068
IL,IN,2006,134810,0,7563878
IL,IN,2007,254065,0,7817943
IL,IN,2009,1975485,0,9793428
IL,IN,2010,155550,0,9948978
IL,KY,2017,777750,0,777750
IL,MO,1990,837896,0,837896
IL,MO,1994,64294,0,902190
IL,MO,2002,20740,0,922930
IL,MO,2016,2074000,0,2996930
IL,MO,2022,1202920,0,4199850
IL,WI,1990,1657126,0,1657126
IL,WI,1995,39406,0,1696532
IL,WI,1996,22814,0,1719346
IL,WI,1999,154513,0,1873859
IL,WI,2000,197030,0,2070889
IL,WI,2002,777750,0,2848639
IL,WI,2006,44591,0,2893230
IL,WI,2009,556869,0,3450099
IL,WI,2022,292434,0,3742533
IN,IL,1990,2010743,0,2010743
IN,IL,1994,5185,0,2015928
IN,IL,1997,138958,0,2154886
IN,IL,2010,0,155550,1999336
IN,IL,2015,2488800,0,4488136
IN,IL,2016,0,414800,4073336
IN,IL,2017,777750,0,4851086
IN,IL,2022,362950,0,5214036
IN,KY,2002,362950,0,362950
IN,KY,2015,777750,0,1140700
IN,KY,2016,786046,0,1926746
IN,KY,2017,294508,0,2221254
IN,MI,1990,2037705,0,2037705
IN,MI,1994,149328,0,2187033
IN,MI,1997,155550,0,2342583
IN,MI,2000,746640,0,3089223
IN,MI,2002,290360,0,3379583
IN,MI,2007,254065,0,3633648
IN,MI,2009,108885,0,3742533
IN,OH,1990,4766052,0,4766052
IN,OH,1994,149328,0,4915380
IN,OH,1995,259250,0,5174630
IN,OH,1998,316285,0,5490915
IN,OH,2009,1866600,0,7357515
KS,CO,1990,399245,0,399245
KS,MO,1990,2704496,0,2704496
KS,MO,1994,0,27999,2676497
KS,MO,1997,286212,0,2962709
KS,MO,2001,148291,0,3111000
KS,MO,2003,69479,0,3180479
KS,MO,2004,69479,0,3249958
KS,MO,2007,0,51850,3198108
KS,MO,2008,1607350,0,4805458
KS,MO,2009,311100,0,5116558
KS,NE,1990,4728720,0,4728720
KS,NE,1994,0,441762,4286958
KS,NE,1997,50813,0,4337771
KS,NE,2002,93330,0,4431101
KS,NE,2007,33184,0,4464285
KS,OK,1990,591090,0,591090
KS,OK,1994,107848,0,698938
KS,OK,2000,82960,0,781898
KS,OK,2005,107848,0,889746
KS,OK,2007,30073,0,919819
KY,IL,1990,1865563,0,1865563
KY,IL,2001,0,264435,1601128
KY,IN,1990,3617056,0,3617056
KY,IN,1994,74664,0,3691720
KY,IN,2016,55998,0,3747718
KY,OH,1990,4210220,0,4210220
KY,OH,1994,107848,0,4318068
KY,TN,1990,5185,0,5185
KY,TN,1994,25925,0,31110
KY,TN,2002,362950,0,394060
KY,TN,2009,881450,0,1275510
KY,TN,2013,871080,0,2146590
KY,TN,2014,920856,0,3067446
KY,TN,2015,1638460,0,4705906
KY,TN,2016,2848639,0,7554545
KY,TN,2017,2066741,0,9621286
KY,TN,2022,772565,0,10393851
KY,VA,1990,51850,0,51850
KY,WV,1990,2629832,0,2629832
KY,WV,1999,318359,0,2948191
LA,AR,1990,7709058,0,7709058
LA,AR,1994,292434,0,8001492
LA,AR,1997,15555,0,8017047
LA,AR,2000,0,256139,7760908
LA,AR,2001,434503,0,8195411
LA,MS,1990,13440557,0,13440557
LA,MS,1994,520574,0,13961131
LA,MS,1995,386801,0,14347932
LA,MS,1996,160735,0,14508667
LA,MS,1999,320433,0,14829100
LA,MS,2001,295545,0,15124645
LA,MS,2002,238510,0,15363155
LA,MS,2003,470798,0,15833953
LA,MS,2004,54961,0,15888914
LA,MS,2008,2945080,0,18833994
LA,MS,2009,1589721,0,20423715
LA,MS,2010,586942,0,21010657
LA,MS,2011,373320,0,21383977
LA,MS,2015,46665,0,21430642
LA,MS,2022,306952,0,21737594
LA,TX,1990,1235067,0,1235067
LA,TX,1994,78812,0,1313879
LA,TX,2003,3111,0,1316990
LA,TX,2017,1365729,0,2682719
LA,TX,2022,1921561,0,4604280
MA,CT,1990,83997,0,83997
MA,CT,2001,86071,0,170068
MA,NH,1990,97478,0,97478
MA,NH,1994,12444,0,109922
MA,NH,2001,130662,0,240584
MA,NH,2022,877302,0,1117886
MA,RI,1990,29036,0,29036
MA,RI,1994,150365,0,179401
MA,RI,2010,285175,0,464576
MD,DC,1990,41480,0,41480
MD,DC,1994,41480,0,82960
MD,DE,1990,49776,0,49776
MD,DE,1994,6947.9,0,56723.9
MD,DE,1998,2592.5,0,59316.4
MD,DE,2001,12236.6,0,71553
MD,DE,2002,5185,0,76738
MD,DE,2004,4873.9,0,81611.9
MD,DE,2005,19599.3,0,101211.2
MD,DE,2006,27169.4,0,128380.6
MD,DE,2007,10577.4,0,138958
MD,DE,2008,11407,0,150365
MD,DE,2022,63257,0,213622
MD,PA,1990,2498133,0,2498133
MD,PA,1994,204289,0,2702422
MD,PA,2008,725900,0,3428322
MD,VA,1990,227103,0,227103
MD,VA,1995,638792,0,865895
MD,VA,2004,225029,0,1090924
MD,VA,2008,829600,0,1920524
MD,VA,2012,435540,0,2356064
MD,VA,2015,446947,0,2803011
MD,VA,2017,575535,0,3378546
MD,VA,2022,1192550,0,4571096
MD,WV,1990,5185,0,5185
ME,NH,1990,12444,0,12444
ME,NH,1994,19703,0,32147
ME,NH,1999,609756,0,641903
ME,NH,2001,41480,0,683383
ME,NH,2002,184586,0,867969
ME,NH,2003,39406,0,907375
ME,NH,2009,212585,0,1119960
ME,NH,2022,101626,0,1221586
MI,IN,1990,1320101,0,1320101
MI,IN,1994,149328,0,1469429
MI,IN,1997,155550,0,1624979
MI,OH,1990,103700,0,103700
MI,WI,1990,2294881,0,2294881
MI,WI,1994,645014,0,2939895
MI,WI,1998,130662,0,3070557
MI,WI,2006,129625,0,3200182
MN,IA,1990,1146922,0,1146922
MN,IA,1994,486353,0,1633275
MN,IA,1998,699975,0,2333250
MN,IA,2000,1692384,0,4025634
MN,IA,2002,174216,0,4199850
MN,IA,2005,77775,0,4277625
MN,ND,1990,26962,0,26962
MN,ND,1994,38369,0,65331
MN,ND,2009,39406,0,104737
MN,ND,2022,34221,0,138958
MN,WI,1990,2092666,0,2092666
MN,WI,1994,652273,0,2744939
MN,WI,1997,64294,0,2809233
MN,WI,1998,130662,0,2939895
MN,WI,1999,29036,0,2968931
MN,WI,2007,13481,0,2982412
MO,AR,1990,25925,0,25925
MO,AR,2022,788120,0,814045
MO,IA,1990,625311,0,625311
MO,IA,1994,79849,0,705160
MO,IL,1990,4022523,0,4022523
MO,IL,1994,215696,0,4238219
MO,IL,2009,1866600,0,6104819
MS,AL,1990,11289819,0,11289819
MS,AL,1994,573461,0,11863280
MS,AL,1995,496723,0,12360003
MS,AL,1996,57035,0,12417038
MS,AL,1997,150365,0,12567403
MS,AL,2001,82960,0,12650363
MS,AL,2002,692716,0,13343079
MS,AL,2003,910486,0,14253565
MS,AL,2004,173179,0,14426744
MS,AL,2008,3678239,0,18104983
MS,AL,2009,1589721,0,19694704
MS,AL,2011,129625,0,19824329
MS,AL,2012,129625,0,19953954
MS,AL,2014,529907,0,20483861
MS,AL,2015,46665,0,20530526
MS,AL,2022,663680,0,21194206
MS,AR,2015,777750,0,777750
MS,AR,2016,786046,0,1563796
MS,AR,2017,2479467,0,4043263
MS,LA,1990,394060,0,394060
MS,LA,2013,559980,0,954040
MS,LA,2014,570350,0,1524390
MS,LA,2015,838933,0,2363323
MS,LA,2016,579683,0,2943006
MS,LA,2017,2257549,0,5200555
MS,LA,2022,1679940,0,6880495
MS,TN,1990,9792391,0,9792391
MS,TN,1994,311100,0,10103491
MS,TN,1999,318359,0,10421850
MS,TN,2000,243695,0,10665545
MS,TN,2001,0,265472,10400073
MT,ND,1990,1247511,0,1247511
MT,ND,1994,603534,0,1851045
MT,ND,1998,725900,0,2576945
MT,ND,2003,82960,0,2659905
MT,ND,2007,42517,0,2702422
MT,ND,2008,42517,0,2744939
MT,ND,2009,77775,0,2822714
MT,ND,2011,494649,0,3317363
MT,WY,1990,182512,0,182512
MT,WY,1998,61183,0,243695
MT,WY,2000,41480,0,285175
NC,SC,2015,544425,0,544425
NC,SC,2017,466650,0,1011075
NC,SC,2022,1058777,0,2069852
NC,VA,1990,2511614,0,2511614
NC,VA,1994,51850,0,2563464
NC,VA,1995,119255,0,2682719
NC,VA,2002,238510,0,2921229
NC,VA,2004,54961,0,2976190
NC,VA,2007,171105,0,3147295
NC,VA,2022,306952,0,3454247
ND,MN,2000,1692384,0,1692384
ND,MN,2002,174216,0,1866600
ND,MN,2005,77775,0,1944375
ND,MT,1990,236436,0,236436
ND,MT,1994,41480,0,277916
